adw-gtk-theme 5.6-1
python-pyelftools 0.31-3
python-pyopencl 1:2024.2.6-3
python-pytorch 2.6.0-2
python39 3.9.21-1
qemu-desktop 9.2.0-2
qemu-system-x86 9.2.0-2
qt5-graphicaleffects 5.15.16-3
qt5-multimedia 5.15.16+kde+r2-3
qt5-quickcontrols 5.15.16-3
qt5-wayland 5.15.16+kde+r59-3
qt5ct 1.9-1
qt6-3d 6.8.2-1
qt6-charts 6.8.2-1
qt6-graphs 6.8.2-1
qt6-httpserver 6.8.2-1
qt6-location 6.8.2-1
qt6ct 0.9-13
radeontop 1.4-3
raylib 5.5-1
reflector 2023-3
repo 2.49.3-1
ripgrep 14.1.1-1
ripgrep-all 0.10.6-3
rofi 1.7.8-1
rustup 1.27.1-1
sane-airscan 0.99.32-1
sbctl 0.16-1
scenefx-git r258.4ffe265-1
schedtool 1.3.0-7
scrcpy 3.1-1
screen 5.0.0-2
sddm 0.21.0-6
sdl3 1:3.2.0-3
seahorse 1:47.0.1-2
sfml 2.6.2-1
squashfs-tools 4.6.1-2
strace 6.13-1
subversion 1.14.5-1
swift-bin 6.0.3-1
swww 0.9.5-2
syntax-highlighting 6.10.0-1
tesseract 5.5.0-1
tesseract-data-jpn 2:4.1.0-4
thunar 4.20.1-1
tmux 3.5_a-1
tree 2.2.1-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-hack 3.003-7
ttf-jetbrains-mono-nerd 3.3.0-1
ttf-meslo-nerd 3.3.0-1
ttf-nerd-fonts-symbols 3.3.0-1
ttf-space-mono-nerd 3.3.0-1
unrar 1:7.1.3-1
usbutils 018-1
vesktop-electron 1.5.4-1
vim 9.1.1065-1
visual-studio-code-bin 1.96.4-1
vkd3d 1.14-1
vlc 3.0.21-12
vulkan-radeon 1:24.3.4-1
w3m 0.5.3.git20230713_1-1
waybar 0.11.0-6
wayland-utils 1.2.0-2
webkit2gtk-4.1 2.46.5-1
weston 14.0.0-2
wev 1.0.0-13
wget 1.25.0-1
wine 10.0-1
wine-mono 9.4.0-1
wireplumber 0.5.7-1
wl-clipboard 1:2.2.1-2
wlogout 1.2.2-0
xarchiver 0.5.4.23-1
xclicker 1.5.1-1
xclip 0.13-6
xdg-desktop-portal-hyprland 1.3.9-5
xf86-video-ati 1:22.0.0-2
xfce4-settings 4.20.0-3
xorg-xinit 1.4.3-1
xorg-xwininfo 1.1.6-2
yadm 3.3.0-1
yt-dlp 2025.01.26-1
zed 0.171.6-1
zen-browser-bin 1.7.4b-1
zenity 4.0.5-1
zig 0.13.0-2
zip 3.0-11
zoxide 0.9.6-1
zram-generator 1.2.1-1
zsh 5.9-5
zsh-autocomplete 24.09.04-2
zsh-autosuggestions 0.7.1-1
zsh-fast-syntax-highlighting 1.55-2
